Value of L,Bass model,,SG model (alpha = infinity),,G_SG model (alpha = 0.5),,G_SG model (free alpha),,Naive on trend model,,Seasonal drift model,
forecast,Med,Q-mean,Med,Q-mean,Med,Q-mean,Med,Q-mean,Med,Q-mean,Med,Q-mean
1 (35),0.099138421,0.089016391,0.111675411,0.096893748,0.152489141,0.133828021,0.111012338,0.079059333,0.587195333,0.388211175,22.12521318,22.77617645
2 (34),0.183058831,0.118386251,0.207210284,0.131472416,0.4975846,0.399791901,0.183098001,0.15748026,1.098048541,0.730897895,43.67445497,44.69756679
3 (33),0.16281696,0.176893144,0.263646538,0.226245166,0.840518281,0.782236369,0.177699386,0.175300077,1.495960811,1.087210461,64.53046389,65.80491955
4 (32),0.281579871,0.248640034,0.40115053,0.319150922,1.216428588,1.264852537,0.259737848,0.229395515,1.867627013,1.432344642,84.89151172,86.13221024
5 (31),0.431296497,0.324990223,0.534424072,0.429824714,1.763038239,1.78139427,0.399067315,0.332604804,2.23874669,1.852137907,104.6342925,105.7226036
6 (30),0.454147489,0.385687494,0.687325899,0.540716347,2.213863818,2.38923874,0.456199214,0.374104319,2.898023723,2.186340413,123.232276,124.5806248
7 (29),0.404400324,0.471108054,0.948446799,0.704922908,2.723871572,3.044297804,0.542194354,0.373209297,3.553226362,2.547795037,141.1606398,142.7781962
8 (28),0.566486651,0.443909427,1.083253467,0.681972478,3.31155795,3.743799209,0.71270446,0.612341273,4.130175395,2.948503692,158.5388108,160.3527569
9 (27),0.519853416,0.580674685,1.400731863,0.8766355,3.969789394,4.52143782,0.780214892,0.736531417,4.703865247,3.534149796,175.281311,177.2784854
10 (26),0.674162003,0.672618353,1.603592296,1.164964062,4.888741707,5.381810785,0.949539579,0.819064605,5.266733425,3.929540802,191.5616256,193.5985213
11 (25),0.790306276,0.606308774,1.895013209,1.391917584,5.542110242,6.260981205,1.140089278,0.816720892,5.82691274,4.474439722,207.2601732,209.3615934
12 (24),0.887479897,0.726279838,2.14998818,1.613083725,6.599007138,7.200196854,1.259188983,0.89997358,6.324201969,5.029053367,222.7563967,224.5663514
13 (23),0.940488588,0.876105935,2.493254275,1.851912262,7.641757647,8.220722191,1.444712749,0.992907762,6.820511791,5.647476441,237.7380969,239.2405639
14 (22),1.120650407,1.136611942,2.808497742,1.937950896,8.694279506,9.293361765,1.464311246,1.284347856,7.318046246,6.245317543,252.1454043,253.4070324
15 (21),1.288572746,1.342792858,3.215327733,2.404671982,9.803187789,10.38326131,1.704818889,1.422876308,7.814399063,6.800486456,266.0523936,267.0754213
16 (20),1.324601811,1.475377649,3.559699642,2.784493754,11.29492044,11.47634132,1.790701341,1.480546701,8.508336327,7.321207549,278.8241693,280.2936842
17 (19),1.519634069,1.679772419,3.956575887,3.106087562,12.52468962,12.69597378,1.944622737,2.08850437,9.197950047,7.905883395,291.0751902,293.0377954
18 (18),1.815999714,2.008866844,4.241435839,3.415884023,13.71872861,14.0352894,2.202982769,2.245214438,9.672800916,8.526468403,303.7387166,305.3317525
pooled,0.620324327,0.537262407,1.502162079,0.855368577,4.429265551,3.44080339,0.864877236,0.591902295,4.985299336,3.041875592,183.4214683,147.8529789
